gas_line_gz1,gas_line_gz2,period,GAS_LINES,gas_line_build_directional_cap,gas_line_directional_total_cap,gas_line_build_general_cap,gas_line_general_total_cap
GA,NC,2023,GA_NC,0,0,2.58314e+06,2.58314e+06
OK,TX,2023,OK_TX,0,7.55766e+06,0,9.93446e+06
MA,RI,2023,MA_RI,0,464576,0,1.61772e+06
OH,MI,2023,MI_OH,515463,5.71291e+06,515463,5.71291e+06
MN,SD,2023,MN_SD,0,0,0,2.46288e+06
OR,WA,2023,OR_WA,0,915671,0,3.9883e+06
OK,KS,2023,KS_OK,0,6.2303e+06,0,6.55902e+06
WA,OR,2023,OR_WA,0,3.75394e+06,0,3.9883e+06
IL,IA,2023,IA_IL,0,77775,0,6.16289e+06
MS,AR,2023,AR_MS,0,4.21437e+06,0,1.60476e+07
CA,NV,2023,CA_NV,0,183549,2.52727e+06,4.98081e+06
OK,CO,2023,CO_OK,0,207400,0,533018
PA,MD,2023,MD_PA,0,4.38651e+06,0,6.93577e+06
